ID,T-shirt,Long Sleeve T-shirt,Shirt,Sweatshirt,Sleeveless,Hoodie,Knit Shirt,Cardigan,Jeans,Cotton Pants,Shorts,Slacks pants,Sweat pants,Jogger pants,Cargo Pants,Track pants,sneakers,boots,Dress shoes,Sandals/slippers,clog
26,3,3,6,8,2,3,4,2,0,6,3,3,3,5,1,3,2,0,1,2,3
27,13,3,1,7,0,1,1,0,7,0,0,4,4,4,3,0,3,0,0,1,2
28,18,4,7,1,0,0,2,2,15,0,0,5,3,4,3,2,4,1,1,0,3
29,18,1,0,5,1,7,4,2,7,4,4,2,2,4,2,2,2,0,2,2,0
30,0,0,3,4,1,2,1,2,15,0,1,3,0,5,1,0,4,0,2,3,3
31,12,0,5,6,3,2,1,1,15,16,2,3,5,2,3,3,0,0,2,2,0
32,7,5,7,0,2,7,4,0,12,3,1,5,3,2,3,0,1,1,1,2,0
33,19,4,10,3,0,0,0,1,15,16,5,2,4,1,3,2,1,0,0,1,2
34,13,4,10,4,3,2,0,1,0,10,5,0,2,3,1,3,0,1,2,3,0
35,15,1,5,5,1,4,1,2,7,12,1,6,1,3,3,0,3,0,1,3,2
36,8,0,0,5,0,2,1,0,11,12,3,0,1,0,0,0,1,1,2,3,2
37,11,5,6,6,0,2,0,1,15,11,2,6,4,5,1,0,0,1,1,0,3
38,20,0,5,1,0,7,3,0,13,15,4,1,1,3,0,2,4,0,0,0,1
39,19,0,6,4,0,3,0,0,1,4,1,1,5,1,0,1,4,1,1,0,2
40,15,1,3,6,0,3,0,2,1,1,2,2,2,1,0,1,1,0,2,3,1
41,20,1,2,0,0,5,0,2,9,2,0,5,2,3,1,3,1,0,0,2,0
42,12,4,7,6,2,0,2,2,11,10,5,2,0,3,2,3,4,0,0,3,2
43,3,2,5,1,1,5,0,0,7,8,1,0,3,4,0,0,3,1,2,1,3
44,10,1,4,6,1,3,1,1,0,8,2,3,1,4,1,0,4,0,2,3,3
45,4,0,3,0,0,0,2,0,13,5,1,5,4,0,0,3,3,0,2,1,1
46,20,0,8,6,1,3,0,1,11,15,5,0,2,2,0,1,3,0,2,1,0
47,11,4,4,5,0,6,0,1,14,15,3,0,5,4,2,0,4,1,2,1,0
48,3,5,4,5,2,6,0,1,0,9,4,3,4,4,1,3,2,1,1,2,1
49,4,1,10,8,3,0,0,0,8,12,2,5,4,3,0,1,4,0,2,0,0
50,0,3,0,4,3,5,0,0,5,6,5,1,3,5,2,1,1,1,2,1,3
51,14,0,2,8,3,0,4,2,2,7,0,3,1,1,1,3,1,0,0,2,1
52,6,4,6,5,2,3,2,2,4,12,3,0,0,2,1,2,1,1,1,2,1
53,15,0,6,0,3,6,0,0,3,2,1,5,1,3,0,3,3,1,2,0,3
54,8,5,8,7,1,3,2,0,15,4,1,2,5,5,2,2,3,1,1,3,2
55,9,0,9,0,2,1,0,2,15,6,2,5,4,2,0,0,1,0,2,2,1
56,1,0,1,2,1,6,4,1,5,2,1,2,1,1,3,0,2,1,0,1,2
57,6,5,5,2,1,4,4,1,14,12,3,6,0,0,1,3,4,0,1,1,2
58,0,1,8,7,1,4,3,2,7,5,3,5,3,4,3,3,3,0,1,2,3
59,17,3,3,7,2,5,4,2,3,12,5,1,3,0,3,3,4,0,2,3,1
60,9,1,1,8,0,6,2,0,0,5,5,2,2,3,1,3,1,0,0,2,0
61,3,5,10,1,3,1,2,2,9,9,1,3,2,3,3,3,3,0,0,3,2
62,7,1,2,2,3,2,2,2,11,7,0,3,0,5,2,1,4,1,1,0,0
63,4,4,1,8,2,2,2,2,13,12,2,6,3,4,1,1,0,0,0,2,1
64,14,0,8,4,1,5,2,2,9,9,3,2,5,5,3,0,2,0,2,0,1
65,16,2,1,6,1,1,1,0,12,15,0,0,5,4,1,2,4,1,2,3,1
66,9,5,0,5,2,4,4,2,13,12,0,3,3,3,1,3,4,1,0,2,1
67,11,0,5,5,3,0,4,1,8,7,5,2,0,2,2,1,2,1,2,2,1
68,10,1,7,2,1,3,2,0,14,2,0,2,2,3,3,3,1,0,0,1,1
69,2,3,0,6,2,6,1,2,9,16,3,1,2,5,0,2,2,1,2,3,1
70,2,1,1,0,3,4,0,2,15,3,1,1,3,0,3,3,3,0,1,0,3
71,17,2,10,2,2,1,2,1,3,2,4,3,5,0,0,0,1,1,1,2,2
72,15,1,6,6,0,6,1,0,4,5,4,5,4,0,1,0,1,0,1,3,3
73,8,4,7,3,3,0,4,0,10,11,4,4,4,0,2,1,1,1,1,2,0
74,18,0,0,7,1,1,4,2,5,0,0,1,4,1,1,1,2,0,1,0,2
75,4,3,9,0,2,7,4,1,6,10,5,3,4,1,3,3,0,0,2,1,1
76,16,2,1,0,0,6,2,0,11,4,1,4,5,0,3,1,2,0,0,3,0
77,5,1,8,2,3,4,0,0,11,12,4,1,4,5,0,2,2,1,1,1,2
78,0,5,7,7,2,2,2,0,6,3,2,0,5,2,3,0,4,0,1,1,3
79,10,0,2,7,1,1,2,0,0,4,3,0,5,3,0,3,0,1,1,2,3
80,18,4,0,7,3,6,4,0,2,3,2,3,3,4,2,3,4,1,0,1,3
81,8,2,10,1,1,6,1,1,13,13,1,3,2,3,0,2,2,0,0,1,0
82,13,3,10,0,2,6,3,2,1,14,5,1,3,5,1,3,3,1,2,1,1
83,16,2,4,4,0,3,2,2,13,13,0,0,5,3,1,3,3,0,0,1,0
84,11,5,8,5,2,6,0,0,7,0,4,4,3,1,1,2,0,0,2,0,1
85,5,2,9,2,2,3,4,2,7,12,0,2,3,0,2,2,4,0,2,0,0
86,3,3,4,2,1,1,0,2,6,16,3,1,2,3,2,3,3,0,2,1,2
87,17,0,3,1,1,7,3,2,7,10,4,4,0,1,2,1,2,1,2,1,1
88,5,2,5,8,1,3,1,1,13,4,4,6,0,1,1,1,0,0,2,2,0
89,14,1,9,0,0,1,0,0,4,11,0,3,1,2,0,2,0,1,0,0,1
90,1,5,2,3,3,0,2,0,15,4,1,6,5,3,3,1,1,1,2,3,1
91,9,3,4,7,2,7,1,0,7,5,5,3,4,0,3,3,0,1,0,1,3
92,13,2,0,8,2,2,0,0,2,15,2,3,2,1,1,0,1,1,0,3,2
93,2,0,1,5,3,7,4,1,3,6,2,3,1,4,0,1,4,1,0,1,3
94,17,2,8,0,3,5,1,1,11,2,2,3,5,1,2,2,2,1,1,3,3
95,11,1,4,6,2,6,0,2,5,11,1,1,2,2,0,1,1,1,1,1,3
96,2,1,6,7,0,1,0,0,8,4,0,5,3,1,3,0,1,0,2,1,0
97,13,5,4,6,3,4,0,1,15,6,5,5,2,0,2,3,3,1,0,1,2
98,3,0,2,1,1,4,2,1,7,9,1,3,1,5,3,3,0,1,1,1,3
99,15,5,7,8,2,6,0,2,4,14,5,2,4,3,2,1,4,1,2,2,3
100,18,2,5,8,1,1,2,0,2,4,3,3,2,1,1,2,3,1,2,2,2
